[FAIL] A-1   intent=ok, names solution(s): hinge
[PASS] A-2   1 functional requirement(s)
[FAIL] A-3   2/5 function clauses discharged; uncovered: C-003, C-004, C-005
[PASS] A-4   malformed targets: none
[PASS] A-5   source quantities not captured: none
[FAIL] A-6   solution terms in statements: {'REQ-001': ['hinge']}
[PASS] A-7   0 assumption(s), 0 supplied-origin requirement(s)
[PASS] A-8   origins present: ['clarification', 'user_stated']
[FAIL] A-9   context not grounded in source: ['SCN-002', 'U-001', 'U-002', 'U-003']
[PASS] A-10  7 requirements across priorities [1, 2]
[PASS] A-11  duplicate statements: 0
[PASS] A-12  requirements without verification intent: none
[PASS] A-13  source_text present
[PASS] A-14  unknowns contradicting resolved targets: none
[PASS] A-16  8 clause(s); request covered=True
[PASS] A-17  dangling clause refs: none
[PASS] A-18  untraceable requirements: none
[PASS] A-19  incoherent verification intent: none
[PASS] A-20  freedoms without a stated basis: none
[PASS] A-21  freedoms duplicating requirements: none
[PASS] A-22  invalid relations: none
[PASS] A-23  conflicts without rationale: none
[PASS] A-24  scenario refs not resolving: none
[PASS] A-25  4 scenario(s), any bound=True
[PASS] A-26  assumptions with unresolved stands_in_for: none
[PASS] A-27  unknown.affects not resolving: none
[PASS] A-28  unknowns missing subject/reason: none
[PASS] D-1   3 behavioural requirement(s) vs 3 distinct source verb(s): ['closed', 'releases', 'stay']
[PASS] D-2   requirements/clauses = 0.88
[PASS] D-3   57% of requirements are USER_STATED

23/27 acceptance rules pass; 0 diagnostics/warnings raised
